id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85702,4.30771,Entire home/apt,90,2,16,2017-06-30,0.19,2,264
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.85709,4.30757,Entire home/apt,74,2,2,2018-10-28,0.03,2,363
45145,B&B Welcome to my place -  2,199370,Erick,,Bruxelles,50.85182,4.36809,Hotel room,91,1,3,2010-11-06,0.11,2,338
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,365
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,74,5,105,2020-02-28,1.00,1,285
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,95,1,5,2019-06-16,0.11,13,349
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,62,2019-03-29,0.94,13,347
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,6,2018-05-20,0.15,13,350
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,135,1,48,2018-10-28,0.41,13,316
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,70,1,26,2019-04-07,0.23,13,347
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,35,2017-07-10,0.45,13,357
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,95,2,3,2012-01-23,0.04,2,309
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80688,4.33337,Private room,75,7,2,2021-06-30,0.09,2,177
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,85,3,1,2019-09-30,0.05,2,360
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,95,1,45,2016-10-02,0.37,13,350
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,72,2,41,2019-10-15,0.66,2,296
134357,"Gare du Midi - Appart.  ""Florence""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,70,1,15,2020-02-06,0.29,13,357
134361,"Gare du Midi - Appart.  ""Lilas""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,80,1,20,2019-09-28,0.56,13,354
134504,"Gare du Midi - Appart.  ""Villarosa""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,80,1,20,2018-12-05,0.17,13,347
148114,"Gare du Midi - Appart.  ""Savane""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,95,1,13,2014-10-11,0.22,13,364
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.83063,4.38619,Entire home/apt,130,5,14,2015-08-05,0.14,1,12
159836,"Duplex, typisch Brussels herenhuis.",766382,Lucile,,Schaerbeek,50.87457,4.38316,Entire home/apt,49,2,131,2020-02-03,2.08,2,155
166510,1-bedroom Apartment  in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Entire home/apt,160,1,10,2011-10-24,0.09,7,314
184201,"Nice Guesthouse, near the center!!!",883668,David,,Bruxelles,50.83884,4.36366,Private room,65,1,687,2021-07-10,6.42,1,340
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Anderlecht,50.84,4.33689,Entire home/apt,100,1,192,2019-07-12,2.44,1,129
198943,"Design studio with garden, Brussels",971770,Antoine,,Ixelles,50.82583,4.36798,Entire home/apt,70,3,173,2020-02-04,1.53,1,162
200385,Bright and Charming Apartment with sunny terrace!,624176,Daan,,Saint-Gilles,50.8264,4.34247,Entire home/apt,69,1,203,2021-06-16,2.71,1,171
232354,"Overlooking the Opera,1Bedroom Flat",871030,ApartmentsApart,,Bruxelles,50.84878,4.35299,Entire home/apt,129,1,10,2018-09-29,0.11,32,365
233899,LovelyViewOpera+Free parking(ask for availability),871030,ApartmentsApart,,Bruxelles,50.85024,4.35107,Entire home/apt,144,1,72,2019-12-02,0.92,32,365
233912,"2 BRMs in Style, 113 sqm., opp. the Opera House",871030,ApartmentsApart,,Bruxelles,50.85076,4.35113,Entire home/apt,153,2,52,2019-03-17,0.67,32,361
233927,2 Bedroom Next to The Opera House!,871030,ApartmentsApart,,Bruxelles,50.85098,4.35164,Entire home/apt,141,1,31,2015-07-13,0.29,32,360
233943,Opera Center of Brussels,871030,ApartmentsApart,,Bruxelles,50.85081,4.35233,Entire home/apt,151,1,14,2013-09-09,0.13,32,364
234031,"Overlooking the Opera,2Bedroom Flat",871030,ApartmentsApart,,Bruxelles,50.85041,4.35307,Entire home/apt,176,1,32,2018-09-02,0.30,32,365
268652,Contemporary Art Flat in Centre,1408080,Luc,,Bruxelles,50.852,4.34017,Entire home/apt,75,1,239,2019-12-15,2.94,1,42
291209,Spacious Art Nouveau Loft & Bird Paradise,1509591,Tim,,Saint-Gilles,50.8319,4.34132,Entire home/apt,82,5,146,2019-10-24,1.37,1,360
293138,Amazing Suite in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,130,1,57,2019-11-30,0.52,7,363
293230,1-Bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Entire home/apt,160,1,42,2019-10-06,0.61,7,319
293280,Elegant Studio-Flat in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,130,1,92,2019-12-01,1.06,7,365
293281,Cute private suite in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,110,1,90,2019-05-26,0.93,7,166
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.81523,4.35168,Entire home/apt,89,5,7,2019-04-23,0.09,1,316
334945,CENTENAIRE EXPO BRUSSELS ATOMIUM,1705823,Le Centenaire,,Bruxelles,50.88993,4.34612,Private room,65,1,2,2019-05-19,0.08,2,0
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84902,4.3653,Entire home/apt,80,6,201,2019-09-20,2.17,3,290
348607,Duplex design in downtown,1764707,Marcelo,,Bruxelles,50.84731,4.36337,Entire home/apt,50,6,173,2018-06-13,1.90,3,222
351154,Beautiful flat near EU offices,1171205,Elena,,Bruxelles,50.84795,4.37547,Entire home/apt,120,2,76,2015-06-23,0.72,1,163
362046,"APART BRUSSELS TYPICALLY  ""JEFF""",1829845,Etienne,,Bruxelles,50.84302,4.35085,Entire home/apt,130,3,6,2012-07-20,0.07,2,0
378953,Large house & garden front room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86206,4.4274,Private room,35,3,39,2019-09-29,0.41,2,350
385698,B&B Welcome to my place -1,199370,Erick,,Saint-Josse-ten-Noode,50.85361,4.36762,Private room,86,1,5,2018-09-09,0.15,2,354
405932,Sunshine B&B Brussels - Chatelain,2023289,Jacques & Françoise,,Ixelles,50.82071,4.35525,Private room,55,2,102,2020-01-26,0.96,1,342
407328,New place next to Midi Station,876633,Nicolas,,Saint-Gilles,50.83421,4.33577,Entire home/apt,73,90,263,2019-11-21,2.37,7,180
417906,Lovely Penthouse in Le Châtelain,23417050,Sam In Belgium,,Ixelles,50.81981,4.35949,Entire home/apt,85,2,51,2016-12-28,0.46,4,57
429409,TOUR & TAXIS 1 + FREE PARKING,2126739,Rocío & Ward,,Molenbeek-Saint-Jean,50.86311,4.34463,Entire home/apt,45,5,367,2020-03-01,3.29,5,127
436497,Big bright double room in Brussels!,1380054,Michael,,Bruxelles,50.82556,4.3671,Private room,61,3,0,,,1,365
441012,Altitude 100,2188987,Elvira,,Forest,50.81568,4.33865,Entire home/apt,60,5,91,2017-05-28,0.90,2,159
443355,"Stay @Bohemian heart BXL, in spacious comfort",2188995,Veronique,,Saint-Gilles,50.83212,4.34993,Private room,32,14,17,2012-07-03,0.33,3,169
448217,"Nice small B&B single room, private bathroom",2226232,Anne,,Saint-Gilles,50.82862,4.35048,Private room,48,2,483,2020-03-08,4.39,1,71
448674,1Bedroom by the Opera & Grand Place,871030,ApartmentsApart,,Bruxelles,50.84895,4.35287,Entire home/apt,94,1,35,2019-10-20,0.64,32,365
450354,Cosy appart 55 m2 - metro Belgica,2236305,Caroline,,Jette,50.86894,4.3326,Entire home/apt,50,29,6,2020-02-11,0.08,1,252
489081,Family stay @ bohemian heart BXL,2188995,Veronique,,Saint-Gilles,50.83131,4.34995,Entire home/apt,85,3,5,2019-05-10,0.14,3,164
510929,Room for one under the roof,2210824,Carine,,Saint-Josse-ten-Noode,50.85411,4.37615,Private room,30,3,256,2020-03-14,2.38,1,83
516715,"APART BRUSSELS TYPICALLY ¨MATHILDE""",1829845,Etienne,,Bruxelles,50.84312,4.35243,Entire home/apt,105,2,42,2015-10-17,0.44,2,0
522520,"Arty House ""Ben""  Brussels Centre",2570123,Jean-Lucien,,Bruxelles,50.84539,4.34359,Entire home/apt,30,91,35,2014-11-17,0.38,3,316
540081,Spacious luxurious 2 beds apt. + balcony Chatelain,2653911,"Françoise, Maurice",,Ixelles,50.81671,4.35486,Entire home/apt,147,4,26,2021-02-21,0.47,1,291
540234,Lovely apart + terrace in Matonge,2654837,Aurore,,Ixelles,50.83601,4.3648,Entire home/apt,70,6,132,2021-07-05,1.35,2,334
541182,Central Bird's Nest Apartment with Panoramic City Views,2504586,Jean,,Bruxelles,50.85874,4.34998,Entire home/apt,79,3,322,2020-08-01,3.52,4,323
592270,HouseBrusselSsteCatherineCool&Calm,2923773,Jack Sun,,Bruxelles,50.85636,4.35241,Entire home/apt,690,1,496,2019-05-23,4.66,3,365
623192,Cute flat down town Brussels,3090043,Amélie,,Bruxelles,50.84387,4.34906,Entire home/apt,48,3,209,2019-06-08,1.93,2,57
623256,Room down town Brussels,3090043,Amélie,,Bruxelles,50.84172,4.34894,Private room,35,2,21,2019-11-24,0.25,2,246
635883,Green Brussels large appartement,3170048,Marie,,Bruxelles,50.80991,4.38427,Entire home/apt,77,4,5,2012-08-21,0.06,2,89
659834,Loft-Atelier d'artistes,2996959,Bernard,,Bruxelles,50.84724,4.34033,Entire home/apt,65,30,18,2020-03-09,0.17,2,341
666495,"NY Style basement studio, Brussels",3369813,Jeroen,,Anderlecht,50.83392,4.32795,Private room,81,2,29,2020-01-01,0.39,1,194
678139,Cosy 90 m2 duplex + private garden in Ixelles,3449982,Laetitia,,Ixelles,50.83195,4.36246,Entire home/apt,85,10,26,2020-02-02,0.97,3,276
686148,"Arty House ""Barbara""  Brussels Centre",2570123,Jean-Lucien,,Bruxelles,50.84536,4.34354,Entire home/apt,28,91,69,2018-07-25,0.64,3,358
688398,"Studio flat in St Gilles, Brussels",3506931,Adam,,Saint-Gilles,50.83202,4.34506,Entire home/apt,49,3,90,2019-04-27,0.85,1,252
701220,"Appart plein de charme, bien situé",102116,Isabelle,,Forest,50.81891,4.32694,Entire home/apt,69,2,0,,,1,365
702465,2 BEDROOM APARTMENT IN BRUSSELS,3275907,Patrick,,Anderlecht,50.84114,4.3364,Entire home/apt,90,4,190,2019-07-31,1.80,1,11
711102,"Furnished, Serviced Studio near EU and NATO",1617667,Anne,,Schaerbeek,50.86306,4.39395,Entire home/apt,45,4,16,2021-03-15,0.17,1,108
711232,100m2 in the center of BRUSSEL,3660283,Isabelle,,Ixelles,50.82872,4.35872,Entire home/apt,53,2,9,2018-02-05,0.21,6,346
734372,75m2 in the center of BRUSSELS,3660283,Isabelle,,Ixelles,50.82678,4.35958,Entire home/apt,35,2,17,2016-01-05,0.25,6,346
746595,Unique lodging - garden + free parking - Brussels,3917867,Hugues,,Forest,50.821,4.32819,Entire home/apt,100,2,122,2019-06-06,1.31,1,307
753573,B&B Berlaymont - EU area,3925484,Madeleine,,Bruxelles,50.84868,4.38655,Private room,46,1,109,2018-04-23,1.08,1,356
767742,Your Place In Brussels with garden,4049481,Claudio,,Saint-Gilles,50.83283,4.34078,Entire home/apt,80,1,10,2013-05-26,0.10,1,1
796035,Apartment in trendy Chatelain area,4193092,Helena,,Ixelles,50.82321,4.35766,Entire home/apt,120,2,0,,,1,285
796763,Romantic studio flat in centre (EU),995442,Julien,,Bruxelles,50.84762,4.36807,Entire home/apt,40,1,136,2019-05-19,1.31,9,182
797022,"Charming, Central & Quiet 50m² flat",995442,Julien,,Bruxelles,50.84816,4.36599,Entire home/apt,38,1,172,2021-07-06,2.00,9,186
797781,EU neighborhood : Super studio !,4200514,Benedicte,,Bruxelles,50.84799,4.38788,Private room,33,3,45,2015-04-18,0.65,2,195
807834,A Flat with a View,4250257,Bernard,,Bruxelles,50.83831,4.35072,Entire home/apt,85,2,771,2020-03-07,7.37,1,350
812232,Smartflats Brusselian 101 - 1Bedroom - City Center,2792958,Alex,,Bruxelles,50.84966,4.35184,Entire home/apt,169,1,61,2021-03-21,0.69,91,290
820616,LOFT DUPLEX with TERRACE in LOUISE,4310003,Home,,Saint-Gilles,50.83026,4.35481,Entire home/apt,88,91,2,2018-03-01,0.02,3,364
820940,Comme à la maison à Bruxelles/idéal pour 4-5 pers.,4311254,Laurent,,Koekelberg,50.86076,4.3294,Private room,65,2,18,2020-02-23,0.35,1,101
822038,Warm apartment,4316582,Habib,,Schaerbeek,50.86141,4.40154,Private room,53,1,2,2012-12-30,0.02,1,363
823737,"Lovely Spacious Suite, at the heart of the EU!",4324902,Sara And Michael,,Bruxelles,50.84487,4.38418,Private room,63,1,339,2020-02-09,3.26,3,84
824830,LOFT with TERRACE in LOUISE BRUSSEL,4310003,Home,,Saint-Gilles,50.83053,4.35366,Entire home/apt,88,91,15,2019-07-02,0.17,3,365
837815,Charming Suite in prime location,4324902,Sara And Michael,,Bruxelles,50.84664,4.3826,Private room,45,1,342,2019-07-14,3.29,3,73
838973,Luxury loft-like apt in Brxl center,4382746,Jurgen,,Bruxelles,50.84326,4.34848,Entire home/apt,82,4,100,2020-08-30,0.99,1,327
845565,Monthly rental in Brussels (House),4411779,Isabelle,,Auderghem,50.80443,4.43546,Entire home/apt,130,30,0,,,3,320
845573,Short term rental in Brussels,4411779,Isabelle,,Auderghem,50.80243,4.43593,Entire home/apt,130,15,2,2021-04-22,0.04,3,321
847618,Single Room with View to the Atomium (65 m2),4425572,Mireille,,Bruxelles,50.8901,4.34212,Private room,70,14,6,2019-12-20,0.18,1,365
851763,Cozy & tidy apt in the best area,4442570,Flavia,,Ixelles,50.83618,4.36913,Entire home/apt,60,1,106,2015-07-24,1.04,2,13
